location,Basel,Basel,Basel
20220626T0000,27.320246,16.670246,21.681496
20220627T0000,22.400246,15.040245,19.147745
20220628T0000,23.410246,13.690246,19.47358
20220629T0000,27.670246,16.300245,21.960245
20220630T0000,30.120245,14.440246,21.497747
20220701T0000,21.950245,13.850245,17.324831
20220702T0000,27.770245,11.280245,20.103579
20220703T0000,30.980246,14.000245,23.683998
20220704T0000,25.660246,18.640245,22.158997
20220705T0000,28.050245,16.130245,22.266077
20220706T0000,26.370245,14.620245,20.498579
20220707T0000,24.070246,12.870245,19.17108
20220708T0000,25.290245,14.670245,19.684826
20220709T0000,28.140245,11.740245,20.923164
20220710T0000,25.220245,15.440246,20.302328
20220711T0000,28.520245,12.160245,21.061913
20220712T0000,30.150246,15.300245,22.841078
20220713T0000,33.480247,14.180245,25.46608
20220714T0000,35.79025,20.690245,28.433578
20220715T0000,29.570246,17.100245,23.51316
20220716T0000,28.690245,14.150246,22.189413
20220717T0000,31.750246,14.100245,23.55816
20220718T0000,35.350246,14.570246,25.816498
20220719T0000,36.93025,16.600245,27.741076
20220720T0000,33.510246,19.820246,25.797327
20220721T0000,29.280245,18.030245,23.26816
20220722T0000,33.230247,15.840245,25.104414
20220723T0000,29.260244,19.220245,23.816076
20220724T0000,32.290245,18.280245,25.258995
20220725T0000,34.710247,18.300245,27.092745
20220726T0000,27.310246,19.880245,23.621912
20220727T0000,26.870245,16.980246,21.953163
20220728T0000,30.860245,15.020246,23.263994
20220729T0000,26.960245,18.290245,22.493162
20220730T0000,29.160246,15.430245,23.288992
20220731T0000,31.810246,15.670245,24.750662
20220801T0000,31.380245,15.570246,23.956915
20220802T0000,31.070246,17.200245,23.769411
20220803T0000,34.760246,15.760245,26.48108
20220804T0000,37.38025,19.620245,28.944
20220805T0000,33.460247,20.360245,26.693163
20220806T0000,25.540245,17.530245,21.19441
20220807T0000,27.360245,15.010245,21.263994
20220808T0000,30.380245,13.890245,22.719414
20220809T0000,31.360245,14.270246,23.37483
20220810T0000,30.980246,15.330245,23.457747
20220811T0000,31.220245,14.230246,23.145662
20220812T0000,30.620245,14.580245,23.025246
20220813T0000,31.100245,13.8102455,22.653994
20220814T0000,27.590246,13.830245,21.651077
20220815T0000,24.950245,15.890245,20.484827
20220816T0000,30.560246,15.190246,22.669828
20220817T0000,28.940245,18.060246,22.485245
20220818T0000,21.450245,17.340246,19.219414
20220819T0000,22.870245,17.860245,20.044828
20220820T0000,24.310246,15.000245,20.116913
20220821T0000,26.280245,13.990245,19.965246
20220822T0000,27.350245,14.660245,20.79441
20220823T0000,28.800245,13.760245,21.608994
20220824T0000,30.400246,13.540245,22.225662
20220825T0000,30.560246,14.670245,22.640661
20220826T0000,28.130245,15.710245,21.43441
20220827T0000,24.430244,17.260244,20.360249
20220828T0000,26.050245,16.220245,20.560246
20220829T0000,28.430244,14.240245,21.316914
20220830T0000,28.460245,14.730246,21.13608
20220831T0000,23.650246,15.950245,19.63858
20220901T0000,24.640245,14.030245,18.592745
20220902T0000,24.650246,11.400246,17.721079
20220903T0000,22.630245,15.740245,18.36483
20220904T0000,27.020245,13.290245,19.754412
20220905T0000,28.520245,13.950245,20.778578
20220906T0000,23.230246,17.000246,20.127745
20220907T0000,26.110245,16.410246,20.570662
20220908T0000,23.010244,15.640245,18.442327
20220909T0000,21.760244,15.200245,17.787329
20220910T0000,19.010244,14.300245,16.409412
20220911T0000,22.390245,12.110246,17.021078
20220912T0000,25.070246,10.130245,16.94691
20220913T0000,27.670246,12.790245,20.568996
20220914T0000,23.580246,18.380245,20.98733
20220915T0000,19.190245,14.410245,17.615248
20220916T0000,16.710245,11.670245,14.691079
20220917T0000,14.530245,9.520246,11.675662
20220918T0000,16.510246,7.9102454,12.64858
20220919T0000,16.870245,9.580245,13.183162
20220920T0000,16.720245,6.4902453,11.590244
20220921T0000,18.450245,5.0702453,11.459828
20220922T0000,18.910246,4.4502454,11.408994
20220923T0000,20.500246,5.5502453,13.299829
20220924T0000,17.700245,10.520246,14.4144125
20220925T0000,15.890245,10.180245,12.703994
20220926T0000,15.300245,10.490245,12.74191
20220927T0000,12.330245,10.020246,11.061078
20220928T0000,12.080245,9.070246,11.019412
20220929T0000,12.540245,9.240245,10.552745
20220930T0000,15.220245,7.5102453,11.280246
20221001T0000,14.420245,7.7802453,11.87608
20221002T0000,19.250246,14.410245,16.475245
20221003T0000,16.560246,8.220245,12.761913
20221004T0000,19.500246,7.480245,12.076912
20221005T0000,23.320246,8.670245,14.931911
20221006T0000,18.630245,11.790245,14.539828
20221007T0000,20.630245,10.870245,15.030662
20221008T0000,17.410246,10.380245,14.071912
20221009T0000,17.130245,6.9902453,11.943162
20221010T0000,22.190245,10.690246,15.963164
20221011T0000,18.160246,11.430245,14.453162
20221012T0000,18.200245,11.420245,14.192328
20221013T0000,17.750246,10.110246,13.743577
20221014T0000,17.520245,12.650246,15.050244
20221015T0000,19.670246,14.390245,16.953165
20221016T0000,23.430244,12.840245,16.753164
20221017T0000,23.400246,11.180245,15.941493
20221018T0000,22.770245,12.920245,16.653162
20221019T0000,19.090246,11.460245,14.715245
20221020T0000,17.780245,13.260245,15.263995
20221021T0000,17.640245,14.240245,15.512329
20221022T0000,20.690245,12.120245,15.431911
20221023T0000,19.200245,10.730246,15.135662
20221024T0000,17.440245,11.700245,15.400246
20221025T0000,18.680244,10.820246,14.146493
20221026T0000,21.760244,11.640245,15.634411
20221027T0000,21.150246,10.740245,14.485245
20221028T0000,22.970245,12.860246,16.149828
20221029T0000,22.270245,11.260245,15.3414955
20221030T0000,21.630245,10.230246,14.053581
20221031T0000,18.700245,8.910245,12.723577
20221101T0000,16.640245,8.260245,13.471078
20221102T0000,16.060246,6.8002453,11.286078
20221103T0000,12.770246,5.5902452,9.520662
20221104T0000,11.050245,7.900245,9.454828
20221105T0000,10.650246,2.9702454,7.914413
20221106T0000,10.340245,2.8002453,6.520662
20221107T0000,16.380245,5.520245,10.121911
20221108T0000,16.540245,4.960245,9.743996
20221109T0000,13.5602455,10.410245,11.842744
20221110T0000,14.010245,5.6202455,9.749828
20221111T0000,12.070246,4.900245,7.7814956
20221112T0000,9.700245,5.4502454,7.1302447
20221113T0000,7.420245,4.2002454,5.527745
20221114T0000,12.870245,4.1602454,8.464412
20221115T0000,12.230246,7.900245,10.1660795
20221116T0000,14.020246,7.2402453,10.48358
20221117T0000,14.390245,9.330245,11.909411
20221118T0000,9.970245,7.0902452,8.756495
20221119T0000,9.790245,5.610245,7.5648274
20221120T0000,8.970245,5.3402452,6.9364963
20221121T0000,9.670245,6.7802453,7.6935782
20221122T0000,8.910245,6.1202455,7.418161
20221123T0000,10.220245,1.7802454,6.7231617
20221124T0000,11.140245,3.5702453,7.6473293
20221125T0000,10.500245,4.3502455,6.665245
20221126T0000,8.570246,2.8302455,5.317329
20221127T0000,7.4902453,1.6302454,4.3202457
20221128T0000,8.870245,4.360245,6.865246
20221129T0000,9.180245,6.4502454,7.596495
20221130T0000,7.730245,5.000245,6.533995
20221201T0000,5.5102453,3.7602453,4.4781613
20221202T0000,4.9102454,1.8102454,3.6127455
20221203T0000,3.4702454,1.4002454,2.1214955
20221204T0000,3.1002455,0.8002454,2.1402452
20221205T0000,6.210245,0.1802454,3.2635782
20221206T0000,4.4602456,-0.4597546,1.9660788
20221207T0000,4.9302454,0.8502454,3.0760784
20221208T0000,3.5102453,-1.9497546,0.8589955
20221209T0000,1.2402453,-1.4197546,-0.075587966
20221210T0000,0.9902454,-2.2797546,0.25399542
20221211T0000,-0.52975464,-7.1297545,-3.256838
20221212T0000,-2.1597548,-7.099755,-5.183504
20221213T0000,-1.8897547,-7.1997547,-4.111005
20221214T0000,2.3202453,-2.3797545,0.116078794
20221215T0000,1.1902454,-0.48975456,0.40857878
20221216T0000,-0.4397546,-3.3597546,-1.628088
20221217T0000,-0.9197546,-5.3797545,-3.6339207
20221218T0000,0.7002454,-4.329755,-2.0685048
20221219T0000,6.2002454,-0.09975457,2.237745
20221220T0000,9.150246,1.8202454,5.2639956
20221221T0000,11.200245,7.710245,9.48816
20221222T0000,12.570246,10.860246,11.788579
20221223T0000,14.330245,12.330245,13.354411
20221224T0000,12.730246,9.190246,10.767745
20221225T0000,11.280245,6.8202453,9.026495
20221226T0000,11.510245,8.290245,10.380245
20221227T0000,8.690246,2.6702452,5.7614956
20221228T0000,10.640245,2.8102455,6.8785787
20221229T0000,13.290245,9.360246,11.679829
20221230T0000,14.720245,4.3902454,9.342329
20221231T0000,16.970245,12.270246,14.379411
20230101T0000,17.230246,8.570246,12.037746
20230102T0000,14.500245,7.420245,10.156078
20230103T0000,9.970245,3.1502452,6.6402454
20230104T0000,10.860246,4.5002456,8.281495
20230105T0000,12.410245,7.7202454,10.683162
20230106T0000,10.500245,6.860245,8.703161
20230107T0000,11.090245,4.8302455,7.353996
20230108T0000,9.050245,4.150245,7.286913
20230109T0000,9.050245,4.8502455,6.472328
20230110T0000,7.520245,4.7802453,6.097328
20230111T0000,9.890245,7.440245,8.641078
20230112T0000,10.720245,7.380245,9.1973295
20230113T0000,10.510245,6.940245,8.983995
20230114T0000,11.300245,6.3202453,8.923579
20230115T0000,12.240245,4.2702456,7.3848286
20230116T0000,6.8302455,3.3902454,4.831496
20230117T0000,3.3702455,0.7902454,1.7931622
20230118T0000,2.2602453,-1.0097545,1.1656619
20230119T0000,1.8202454,-3.709755,-1.2468379
20230120T0000,1.9902455,-3.5997548,-1.1505878
20230121T0000,1.0702454,-4.519755,-1.3643379
20230122T0000,1.7402455,-0.72975457,0.48941207
20230123T0000,3.5302453,0.4802454,1.983579
20230124T0000,5.040245,2.5902452,3.6835787
20230125T0000,3.6002455,1.8802454,2.8664954
20230126T0000,1.4702454,-0.90975463,0.33732876
20230127T0000,1.4702454,-1.0897546,0.10649541
20230128T0000,2.9202452,-0.10975462,1.3781619
20230129T0000,2.5502453,-2.7297544,0.5256621
20230130T0000,3.2302456,-3.1397548,0.49816218
20230131T0000,5.150245,-0.4297546,2.9573288
20230201T0000,6.770245,2.9202452,4.9931617
20230202T0000,7.3902454,4.980245,6.0631623
20230203T0000,8.400246,5.270245,6.787746
20230204T0000,8.840245,2.0602455,6.110662
20230205T0000,5.5702453,0.35024542,3.1469119
20230206T0000,4.9902453,0.6702454,3.3064954
20230207T0000,4.8002453,-3.1597548,0.20191205
20230208T0000,3.1202455,-4.4497547,-1.3735045
20230209T0000,6.0302453,-6.119755,-1.1564213
20230210T0000,6.3702455,-5.789755,-0.73933786
20230211T0000,8.300245,-5.1097546,0.19316214
20230212T0000,10.200245,-3.1097546,2.3327456
20230213T0000,9.100245,-0.5897546,2.8694122
20230214T0000,9.260245,-1.1697546,2.1289957
20230215T0000,11.370245,-1.4397546,2.597329
20230216T0000,13.820246,-0.97975457,5.860245
20230217T0000,13.390245,7.7002454,10.747327
20230218T0000,15.0602455,10.190246,12.053996
20230219T0000,11.240245,6.920245,9.566911
20230220T0000,15.650246,2.3002453,7.982746
20230221T0000,16.640245,0.5402454,7.0435786
20230222T0000,13.230246,1.7502455,7.7302456
20230223T0000,13.830245,4.5702453,9.440661
20230224T0000,13.380245,3.7902455,8.398162
20230225T0000,7.3302455,1.7502455,4.8444123
20230226T0000,1.9202454,-1.0497546,0.8031621
20230227T0000,2.8602452,-0.2697546,1.2077454
20230228T0000,2.8302455,-1.4297546,0.29816216
20230301T0000,4.980245,-1.8297547,1.4156619
20230302T0000,6.3202453,0.7402454,2.814412
20230303T0000,8.380245,0.00024539232,3.766079
20230304T0000,8.210245,-0.5497546,3.2194118
20230305T0000,6.8902454,0.19024539,3.168162
20230306T0000,6.1202455,-0.03975457,3.1352453
20230307T0000,7.190245,0.7802454,4.0352454
20230308T0000,12.870245,1.7202454,8.258162
20230309T0000,15.900246,9.430245,12.215245
20230310T0000,11.220245,5.0302453,8.998161
20230311T0000,6.500245,1.6502454,4.1435785
20230312T0000,13.250245,3.9402456,8.571912
20230313T0000,21.620245,9.570246,14.953576
20230314T0000,11.170245,5.130245,8.928995
20230315T0000,9.350245,0.5302454,4.9698286
20230316T0000,13.420245,-0.60975456,5.693995
20230317T0000,17.380245,1.7002454,9.973163
20230318T0000,17.730246,3.9302454,11.531495
20230319T0000,13.740245,7.3702455,10.675246
20230320T0000,13.740245,4.4502454,9.260662
20230321T0000,16.130245,2.6702452,9.6731615
20230322T0000,19.290245,5.380245,12.498162
20230323T0000,16.550245,11.620245,14.1714945
20230324T0000,14.640245,9.680245,12.376494
20230325T0000,12.590245,7.2402453,9.788163
20230326T0000,12.600245,6.3402452,8.788161
20230327T0000,7.3002453,2.0602455,5.6006618
20230328T0000,11.040245,-1.8497547,5.9881625
20230329T0000,19.710245,8.000245,13.428578
20230330T0000,16.670246,12.290245,14.045663
20230331T0000,14.550245,8.800245,11.880245
20230401T0000,11.330245,7.8202453,9.194828
20230402T0000,12.020246,7.0802455,9.174413
20230403T0000,8.210245,2.3802454,5.915663
20230404T0000,9.760245,-1.2797546,4.1148286
20230405T0000,10.770246,-0.9197546,4.627329
20230406T0000,12.820246,-2.0797548,6.947329
20230407T0000,9.370245,5.5702453,7.1677456
20230408T0000,12.030245,5.3202453,8.644412
20230409T0000,15.340245,2.8502455,8.983162
20230410T0000,17.500246,2.3702455,11.138579
20230411T0000,14.520246,8.780245,11.550244
20230412T0000,13.800245,7.170245,10.210662
20230413T0000,9.670245,4.4702454,7.458162
20230414T0000,14.190246,2.1202455,8.230662
20230415T0000,12.780245,4.4502454,8.987745
20230416T0000,10.170245,7.9902453,8.844412
20230417T0000,13.820246,7.610245,10.146497
20230418T0000,15.760245,7.150245,10.628994
20230419T0000,13.490245,6.4502454,10.180661
20230420T0000,9.280245,4.5002456,6.993995
20230421T0000,13.300245,2.6302452,8.479411
20230422T0000,18.550245,6.5102453,12.73733
20230423T0000,19.450245,9.750245,13.498996
20230424T0000,13.020246,8.920245,10.856912
20230425T0000,11.320246,6.290245,8.608995
20230426T0000,15.040245,3.8002453,9.568995
20230427T0000,19.050245,8.3102455,13.588581
20230428T0000,18.740246,12.000245,15.360663
20230429T0000,19.670246,11.230246,15.375664
20230430T0000,18.190245,9.3102455,14.11441
20230501T0000,16.100246,10.210245,13.340244
20230502T0000,17.060246,8.910245,12.885245
20230503T0000,20.630245,6.110245,13.361076
20230504T0000,24.540245,7.4702454,16.383995
20230505T0000,22.460245,13.860246,17.21233
20230506T0000,22.590246,12.440246,16.982744
20230507T0000,20.320246,11.530245,15.801911
20230508T0000,19.160246,14.160245,16.29858
20230509T0000,20.270245,12.130245,15.58691
20230510T0000,15.470245,11.590245,13.58941
20230511T0000,14.610246,10.620245,12.467746
20230512T0000,16.810246,10.510245,13.477328
20230513T0000,15.730246,11.050245,13.428996
20230514T0000,17.210245,10.050245,13.11483
20230515T0000,17.070246,9.660245,13.157745
20230516T0000,12.430245,9.630245,11.475662
20230517T0000,14.760245,7.520245,11.221496
20230518T0000,16.580246,5.8202453,12.219827
20230519T0000,16.360247,9.320246,13.554413
20230520T0000,18.780245,11.830245,15.25233
20230521T0000,24.410246,12.220245,18.15983
20230522T0000,26.090246,13.980246,19.96816
20230523T0000,21.390245,14.600245,18.21066
20230524T0000,16.740246,10.470245,13.830246
20230525T0000,20.640245,9.820246,15.388995
20230526T0000,24.250246,10.700245,17.912329
20230527T0000,25.860245,11.180245,18.707743
20230528T0000,26.140245,10.390245,18.825663
20230529T0000,26.910246,10.110246,19.314827
20230530T0000,25.610245,11.890245,19.238993
20230531T0000,26.990246,12.250245,19.758993
20230601T0000,27.310246,11.660245,20.31566
20230602T0000,26.290245,14.450245,20.111494
20230603T0000,26.780245,12.240245,20.068161
20230604T0000,26.700245,12.840245,19.568165
20230605T0000,27.210245,11.820246,20.510662
20230606T0000,27.190245,12.360246,20.765245
20230607T0000,27.410246,12.700245,20.488997
20230608T0000,28.320246,12.690246,20.992744
20230609T0000,29.600245,13.270246,22.268164
20230610T0000,29.560246,15.570246,23.356497
20230611T0000,29.630245,16.380245,23.550665
20230612T0000,29.810246,14.140245,23.06733
20230613T0000,28.490246,13.630245,21.41108
20230614T0000,27.850245,10.720245,20.875244
20230615T0000,27.690245,13.880245,21.235247
20230616T0000,28.270245,13.5602455,22.048578
20230617T0000,29.980246,11.790245,22.598997
20230618T0000,31.300245,15.240245,23.71691
20230619T0000,30.490246,19.390245,24.574411
20230620T0000,32.320248,19.090246,24.676079
20230621T0000,27.750246,20.120245,23.257746
20230622T0000,29.430244,18.310246,22.371912
20230623T0000,25.960245,17.220245,21.162746
20230624T0000,28.920246,13.080245,22.024412
20230625T0000,31.290245,13.520246,23.456495
20230626T0000,30.340246,17.060246,23.904413
20230627T0000,25.740246,15.630245,20.570244
20230628T0000,27.560246,14.680245,20.96066
20230629T0000,28.130245,14.860246,22.76358
20230630T0000,20.890245,17.020245,19.411077
20230701T0000,23.120245,15.830245,19.341911
20230702T0000,24.670246,16.870245,20.368578
20230703T0000,24.360245,16.640245,20.583992
20230704T0000,26.030245,16.920246,21.612741
20230705T0000,23.410246,17.520245,20.044828
20230706T0000,27.540245,13.980246,20.814829
20230707T0000,32.560246,13.100245,23.802748
20230708T0000,31.450245,19.660246,24.362741
20230709T0000,35.510246,18.010244,27.427744
20230710T0000,32.150246,21.350245,26.216913
20230711T0000,36.150246,19.680244,27.513163
20230712T0000,26.920246,19.590246,23.318163
20230713T0000,26.700245,16.630245,21.90566
20230714T0000,30.900246,13.550245,22.642746
20230715T0000,32.990246,17.840246,25.449408
20230716T0000,25.050245,16.970245,20.733994
20230717T0000,26.930244,18.890245,22.74566
20230718T0000,27.540245,15.950245,22.256498
20230719T0000,29.590246,19.880245,24.682327
20230720T0000,27.080246,16.990246,22.281914
20230721T0000,24.240246,15.440246,20.118162
20230722T0000,27.160246,13.700245,21.210663
20230723T0000,28.890245,14.260245,22.398163
20230724T0000,23.390245,17.740246,20.258581
20230725T0000,20.710245,14.320246,17.608164
20230726T0000,20.580246,12.670245,16.20983
20230727T0000,25.820246,12.350245,19.253996
20230728T0000,25.320246,16.550245,20.747332
20230729T0000,26.050245,17.820246,21.036081
20230730T0000,24.400246,14.910245,20.285662
20230731T0000,25.330246,12.580245,19.810244
20230801T0000,21.450245,15.550245,19.237745
20230802T0000,27.630245,15.180245,20.96816
20230803T0000,23.210245,15.200245,19.720245
20230804T0000,19.690245,14.830245,17.291912
20230805T0000,22.560246,13.850245,18.041079
20230806T0000,17.400246,13.630245,15.129829
20230807T0000,19.370245,11.720245,15.161912
20230808T0000,22.690245,9.080245,16.908995
20230809T0000,23.950245,14.550245,19.067745
20230810T0000,28.430244,13.530245,21.135658
20230811T0000,31.960245,14.080245,23.43191
20230812T0000,28.960245,18.780245,23.780243
20230813T0000,29.670246,19.370245,23.951498
20230814T0000,31.200245,19.620245,25.37233
20230815T0000,30.750246,19.930244,24.833998
20230816T0000,32.450245,17.450245,24.743158
20230817T0000,29.850245,18.320246,23.941496
20230818T0000,34.440247,17.570246,25.529413
20230819T0000,34.68025,18.580246,26.698992
20230820T0000,34.660248,19.310246,27.033579
20230821T0000,35.280247,21.500246,28.021498
20230822T0000,35.190247,20.840246,27.767326
20230823T0000,33.850246,21.300245,26.836912
20230824T0000,35.900246,19.540245,26.333578
20230825T0000,26.840246,20.270245,23.069826
20230826T0000,20.790245,17.180244,19.20858
20230827T0000,19.390245,15.260245,17.139412
20230828T0000,16.000246,12.880245,14.41233
20230829T0000,16.620245,12.370245,14.586913
20230830T0000,20.790245,11.850245,16.351494
20230831T0000,19.980246,13.820246,17.018991
20230901T0000,25.760244,15.550245,19.956913
20230902T0000,28.960245,13.540245,20.849413
20230903T0000,28.280245,14.230246,21.100246
20230904T0000,30.360245,14.700245,22.124413
20230905T0000,30.080246,14.970245,22.245245
20230906T0000,29.550245,13.610246,21.596495
20230907T0000,30.870245,15.590245,22.943163
20230908T0000,31.820246,16.140245,23.927328
20230909T0000,32.190247,16.980246,24.248163
20230910T0000,32.84025,16.590246,24.024414
20230911T0000,33.27025,15.900246,24.239828
20230912T0000,31.630245,17.400246,24.082329
20230913T0000,23.400246,17.860245,19.95066
20230914T0000,24.170246,15.710245,19.488995
20230915T0000,26.240246,14.930245,19.786493
20230916T0000,27.270245,14.740245,20.770662
20230917T0000,29.660246,16.400246,22.345663
20230918T0000,22.670246,18.090246,19.609827
20230919T0000,23.480246,13.720245,19.096079
20230920T0000,26.460245,10.920245,18.373163
20230921T0000,25.090246,14.370245,19.362331
20230922T0000,20.220245,12.680245,15.756495
20230923T0000,18.200245,10.230246,13.906077
20230924T0000,20.640245,8.690246,13.6781645
20230925T0000,22.010244,7.0802455,14.036079
20230926T0000,24.200245,8.360246,15.061078
20230927T0000,24.980246,8.980246,16.001911
